#,,,,,,,,
agency_cd,site_no,datetime,timezone,Gage Height [ft],Discharge [cfs],Temperature [degrees C],Turbidity [FNU],Flooding
USGS,14206950,11/2/2015 22:00,PST,2.55,41.5,12.9,16.3,0
USGS,14206950,11/2/2015 22:15,PST,2.54,40.8,,,0
USGS,14206950,11/2/2015 22:30,PST,2.54,40.8,,,0
USGS,14206950,11/2/2015 22:45,PST,2.53,40.2,,,0
USGS,14206950,11/2/2015 23:00,PST,2.52,39.6,12.8,15.2,0
USGS,14206950,11/2/2015 23:15,PST,2.52,39.6,,,0
USGS,14206950,11/2/2015 23:30,PST,2.51,38.9,,,0
USGS,14206950,11/2/2015 23:45,PST,2.5,38.3,,,0
USGS,14206950,11/3/2015 0:00,PST,2.5,38.3,12.8,14.9,0
USGS,14206950,11/3/2015 0:15,PST,2.49,37.6,,,0
USGS,14206950,11/3/2015 0:30,PST,2.49,37.6,,,0
USGS,14206950,11/3/2015 0:45,PST,2.48,37,,,0
USGS,14206950,11/3/2015 1:00,PST,2.48,37,12.7,14.5,0
USGS,14206950,11/3/2015 1:15,PST,2.48,37,,,0
USGS,14206950,11/3/2015 1:30,PST,2.47,36.4,,,0
USGS,14206950,11/3/2015 1:45,PST,2.48,37,,,0
USGS,14206950,11/3/2015 2:00,PST,2.49,37.6,12.6,13.9,0
USGS,14206950,11/3/2015 2:15,PST,2.49,37.6,,,0
USGS,14206950,11/3/2015 2:30,PST,2.49,37.6,,,0
USGS,14206950,11/3/2015 2:45,PST,2.5,38.3,,,0
USGS,14206950,11/3/2015 3:00,PST,2.5,38.3,12.6,13.7,0
USGS,14206950,11/3/2015 3:15,PST,2.51,38.9,,,0
USGS,14206950,11/3/2015 3:30,PST,2.51,38.9,,,0
USGS,14206950,11/3/2015 3:45,PST,2.52,39.6,,,0
USGS,14206950,11/3/2015 4:00,PST,2.51,38.9,12.5,13.8,0
USGS,14206950,11/3/2015 4:15,PST,2.51,38.9,,,0
USGS,14206950,11/3/2015 4:30,PST,2.51,38.9,,,0
USGS,14206950,11/3/2015 4:45,PST,2.51,38.9,,,0
USGS,14206950,11/3/2015 5:00,PST,2.5,38.3,12.4,13.5,0
USGS,14206950,11/3/2015 5:15,PST,2.5,38.3,,,0
USGS,14206950,11/3/2015 5:30,PST,2.49,37.6,,,0
USGS,14206950,11/3/2015 5:45,PST,2.48,37,,,0
